Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 5-29-2025  8:59PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  top.ngd
output file: top_pad.csv
Part type:   xc95144
Speed grade: -7
Package:     pq160

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P33,clk,GCK,I/O/GCK1,,,,,,,,,,
P34,num2<0>,O,I/O,OUTPUT,,,,,,,,,
P35,TIE,,I/O/GCK2,,,,,,,,,,
P36,ld2,I/O,I/O,BIDIR,,,,,,,,,
P37,TIE,,I/O,,,,,,,,,,
P38,fifo_emp,O,I/O,OUTPUT,,,,,,,,,
P39,dn3<1>,I/O,I/O,BIDIR,,,,,,,,,
P40,GND,,GND,,,,,,,,,,
P41,VCC,,VCCIO,,,,,,,,,,
P42,TIE,,I/O/GCK3,,,,,,,,,,
P43,TIE,,I/O,,,,,,,,,,
P44,dt2<2>,I/O,I/O,BIDIR,,,,,,,,,
P45,fifo_tim<2>,O,I/O,OUTPUT,,,,,,,,,
P46,VCC,,VCCINT,,,,,,,,,,
P47,dn1<2>,I/O,I/O,BIDIR,,,,,,,,,
P48,dt3<3>,I/O,I/O,BIDIR,,,,,,,,,
P49,in_num<2>,I,I/O,INPUT,,,,,,,,,
P50,dn2<2>,I/O,I/O,BIDIR,,,,,,,,,
P51,GND,,GND,,,,,,,,,,
P52,TIE,,I/O,,,,,,,,,,
P53,dt1<1>,I/O,I/O,BIDIR,,,,,,,,,
P54,in_valid,I,I/O,INPUT,,,,,,,,,
P55,dt1<3>,I/O,I/O,BIDIR,,,,,,,,,
P56,dt1<2>,I/O,I/O,BIDIR,,,,,,,,,
P57,dt3<2>,I/O,I/O,BIDIR,,,,,,,,,
P58,clk2<0>,O,I/O,OUTPUT,,,,,,,,,
P59,TIE,,I/O,,,,,,,,,,
P60,clk3<2>,I/O,I/O,BIDIR,,,,,,,,,
P61,VCC,,VCCIO,,,,,,,,,,
P62,clk3<3>,I/O,I/O,BIDIR,,,,,,,,,
P63,num2<2>,O,I/O,OUTPUT,,,,,,,,,
P64,num3<0>,O,I/O,OUTPUT,,,,,,,,,
P65,clk3<1>,I/O,I/O,BIDIR,,,,,,,,,
P66,clk2<2>,I/O,I/O,BIDIR,,,,,,,,,
P67,clk3<0>,O,I/O,OUTPUT,,,,,,,,,
P68,busy<1>,I/O,I/O,BIDIR,,,,,,,,,
P69,TIE,,I/O,,,,,,,,,,
P70,GND,,GND,,,,,,,,,,
P71,TDI,,TDI,,,,,,,,,,
P72,TIE,,I/O,,,,,,,,,,
P73,TMS,,TMS,,,,,,,,,,
P74,clk2<3>,I/O,I/O,BIDIR,,,,,,,,,
P75,TCK,,TCK,,,,,,,,,,
P76,num2<3>,O,I/O,OUTPUT,,,,,,,,,
P77,clk2<1>,I/O,I/O,BIDIR,,,,,,,,,
P78,busy<2>,I/O,I/O,BIDIR,,,,,,,,,
P79,dn3<0>,I/O,I/O,BIDIR,,,,,,,,,
P80,GND,,GND,,,,,,,,,,
P81,VCC,,VCCIO,,,,,,,,,,
P82,in_time<0>,I,I/O,INPUT,,,,,,,,,
P83,TIE,,I/O,,,,,,,,,,
P84,num3<3>,O,I/O,OUTPUT,,,,,,,,,
P85,dn1<0>,I/O,I/O,BIDIR,,,,,,,,,
P86,qdbg<17>,I/O,I/O,BIDIR,,,,,,,,,
P87,TIE,,I/O,,,,,,,,,,
P88,qdbg<1>,I/O,I/O,BIDIR,,,,,,,,,
P89,qdbg<2>,I/O,I/O,BIDIR,,,,,,,,,
P90,TIE,,I/O,,,,,,,,,,
P91,TIE,,I/O,,,,,,,,,,
P92,in_time<2>,I,I/O,INPUT,,,,,,,,,
P93,num3<1>,O,I/O,OUTPUT,,,,,,,,,
P94,VCC,,VCCINT,,,,,,,,,,
P95,qdbg<9>,I/O,I/O,BIDIR,,,,,,,,,
P96,fifo_tim<1>,O,I/O,OUTPUT,,,,,,,,,
P97,TIE,,I/O,,,,,,,,,,
P98,num3<2>,O,I/O,OUTPUT,,,,,,,,,
P99,GND,,GND,,,,,,,,,,
P100,GND,,GND,,,,,,,,,,
P101,qdbg<11>,I/O,I/O,BIDIR,,,,,,,,,
P102,fifo_num<2>,O,I/O,OUTPUT,,,,,,,,,
P103,fifo_num<3>,O,I/O,OUTPUT,,,,,,,,,
P104,fifo_tim<3>,O,I/O,OUTPUT,,,,,,,,,
P105,qdbg<19>,I/O,I/O,BIDIR,,,,,,,,,
P106,num1<0>,O,I/O,OUTPUT,,,,,,,,,
P107,qdbg<3>,I/O,I/O,BIDIR,,,,,,,,,
P108,fifo_full,O,I/O,OUTPUT,,,,,,,,,
P109,fifo_tim<0>,O,I/O,OUTPUT,,,,,,,,,
P110,GND,,GND,,,,,,,,,,
P111,in_num<3>,I,I/O,INPUT,,,,,,,,,
P112,num1<1>,O,I/O,OUTPUT,,,,,,,,,
P113,TIE,,I/O,,,,,,,,,,
P114,dt2<3>,I/O,I/O,BIDIR,,,,,,,,,
P115,TIE,,I/O,,,,,,,,,,
P116,TIE,,I/O,,,,,,,,,,
P117,qdbg<12>,I/O,I/O,BIDIR,,,,,,,,,
P118,TIE,,I/O,,,,,,,,,,
P119,qdbg<13>,I/O,I/O,BIDIR,,,,,,,,,
P120,GND,,GND,,,,,,,,,,
P121,VCC,,VCCIO,,,,,,,,,,
P122,qdbg<15>,I/O,I/O,BIDIR,,,,,,,,,
P123,qdbg<14>,I/O,I/O,BIDIR,,,,,,,,,
P124,qdbg<20>,I/O,I/O,BIDIR,,,,,,,,,
P125,qdbg<21>,I/O,I/O,BIDIR,,,,,,,,,
P126,qdbg<22>,I/O,I/O,BIDIR,,,,,,,,,
P127,GND,,GND,,,,,,,,,,
P128,qdbg<4>,I/O,I/O,BIDIR,,,,,,,,,
P129,qdbg<23>,I/O,I/O,BIDIR,,,,,,,,,
P130,qdbg<7>,I/O,I/O,BIDIR,,,,,,,,,
P131,TIE,,I/O,,,,,,,,,,
P132,clk1<0>,O,I/O,OUTPUT,,,,,,,,,
P133,qdbg<5>,I/O,I/O,BIDIR,,,,,,,,,
P134,qdbg<6>,I/O,I/O,BIDIR,,,,,,,,,
P135,TIE,,I/O,,,,,,,,,,
P136,TDO,,TDO,,,,,,,,,,
P137,GND,,GND,,,,,,,,,,
P138,TIE,,I/O,,,,,,,,,,
P139,TIE,,I/O,,,,,,,,,,
P140,clk1<2>,I/O,I/O,BIDIR,,,,,,,,,
P141,VCC,,VCCIO,,,,,,,,,,
P142,qdbg<16>,I/O,I/O,BIDIR,,,,,,,,,
P143,in_time<3>,I,I/O,INPUT,,,,,,,,,
P144,qdbg<8>,I/O,I/O,BIDIR,,,,,,,,,
P145,clk1<3>,I/O,I/O,BIDIR,,,,,,,,,
P146,num1<3>,O,I/O,OUTPUT,,,,,,,,,
P147,qdbg<0>,I/O,I/O,BIDIR,,,,,,,,,
P148,busy<0>,I/O,I/O,BIDIR,,,,,,,,,
P149,qdbg<10>,I/O,I/O,BIDIR,,,,,,,,,
P150,qdbg<18>,I/O,I/O,BIDIR,,,,,,,,,
P151,num1<2>,O,I/O,OUTPUT,,,,,,,,,
P152,in_time<1>,I,I/O,INPUT,,,,,,,,,
P153,ld1,I/O,I/O,BIDIR,,,,,,,,,
P154,in_num<1>,I,I/O,INPUT,,,,,,,,,
P155,TIE,,I/O,,,,,,,,,,
P156,clk1<1>,I/O,I/O,BIDIR,,,,,,,,,
P157,VCC,,VCCINT,,,,,,,,,,
P158,dn3<3>,I/O,I/O,BIDIR,,,,,,,,,
P159,rst_n,GSR,I/O/GSR,,,,,,,,,,
P160,GND,,GND,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


